Código De Barras;Marca;Producto;Peso (Ml);Costo;Precio;Sexo;Tipo;;;
;Arabiyat Prestige;Blueberry Musk;100;21990;;;Edp;;;
;Arabiyat Prestige;Floret;100;21990;;;Edp;;;
;Arabiyat Prestige;Lady Bird;100;21990;;;Edp;;;
;Arabiyat Prestige;Purple Oud;100;21990;;;Edp;;;
;Arabiyat Prestige;Red Oud;100;21990;;;Edp;;;
;Aramis;900;100;180.724;632.534;Hombre;Edc;;20.990;
;Aramis;900;100;21490;;;Edc;;;
;Aramis;;;$24.000;;Hombre;;;;
;Aramis;Ard Al Zaafaran Mousuf;100;14990;;;Edp;;;
;Aramis;Arden Beauty;100;$ 11.500;;Mujer;Edp;;;
;Aramis;Aramis;100;$ 23.500;;Hombre;Edt;;;
;Aramis;Aramis;110;22990;;;Edt;;;
;Aramis;Aramis;125;$ 24.000;;Hombre;Edt;;;
;Aramis;Arden Beauty;100;30,00 €;65,00 €;Mujer;Edp;;;
;Aramis;Devin;100;19990;;;Edc;;;
;Aramis;Devin;100;172.114;602.399;Hombre;Edc;;19.990;
;Aramis;Havana;100;17990;;;Edt;;;
;Aramis;Havana;100;154.894;542.129;Hombre;Edt;;17.990;
;Ariana Grande;Ari Tester;100;23490;;Femenino;Edp;;;
;Ariana Grande;Ari;100;36990;;Femenino;Edp;;;
;Ariana Grande;Ari;30;20990;;Femenino;Edp;;;
;Ariana Grande;Ari;50;24990;;Femenino;Edp;;;
;Ariana Grande;Ari Body Mist;236;86.014;301.049;Mujer;Mist;;9.990;
;Ariana Grande;Ari Body Mist;236;9990;;Femenino;Mist;;;
;Ariana Grande;Ari;100;253.909;888.681;Mujer;Edp;;29.490;
;Armaf;Armaf Club De Nuit Intense Hombre Estuche + Gel + Desodorante + Shampoo;250;Hombre;352.924;1.235.234;Edt;Estuche;40.990;
;Armaf;Armaf El Cielo Pour Homme;100;Hombre;215.164;753.074;Edp;;24.990;
;Armaf;Armaf Legaci Mujer;100;Mujer;215.164;753.074;Edp;;24.990;
;Armaf;Armaf Legesi Hombre;100;Hombre;215.164;753.074;Edp;;24.990;
;Armaf;Armaf Niche Oud;90;Hombre;292.654;1.024.289;Edp;;33.990;
;Armaf;Armaf Odyssey Homme White Edicion;100;Hombre;206.554;722.939;Edp;;23.990;
;Armaf;Blue Homme;100;Hombre;215.164;753.074;Edt;;24.990;
;Armaf;Club De Nuit Iconic Edp 105ml;;;42990;;;;;
;Armaf;Club De Nuit Imperiale Edp 105ml;;;39990;;;;;
;Armaf;Club De Nuit Intense Desodorante 200ml;;;4990;;;;;
;Armaf;Club De Nuit Intense Hombre Estuche Edt 105ml+Gel 100ml+Desodorante 50ml+Shampoo 250ml;;;44990;;;;;
;Armaf;Club De Nuit Intense Man Edp 200ml .;;;54990;;;;;
;Armaf;Club De Nuit Intense Man Edt 105ml .;;;29990;;;;;
;Armaf;Club De Nuit Intense Woman Edp 105ml .;;;24490;;;;;
;Armaf;Club De Nuit Man Edt 105ml .;;;19990;;;;;
;Armaf;Club De Nuit Milestone Edp 105ml .;;;34990;;;;;
;Armaf;Club De Nuit Untold Edp 105ml;;;39990;;;;;
;Armaf;Club De Nuit Urban Man Edp 105ml .;;;28990;;;;;
;Armaf;Club De Nuit Urban Man Elixir Edp 105ml .;;;41990;;;;;
;Armaf;Club De Nuit Woman Edp 200ml;;;36990;;;;;
;Armaf;Club De Nuit Women Edp 105ml .;;;24490;;;;;
;Armaf;Club De Nuit Intense Man;105;Hombre;249.604;873.614;Edt;;28.990;
;Armaf;Club De Nuit Intense Man;200;Hombre;361.534;1.265.369;Edp;;41.990;
;Armaf;Club De Nuit Intense Woman;105;Mujer;206.554;722.939;Edp;;23.990;
;Armaf;Club De Nuit Man;105;Hombre;249.604;873.614;Edt;;28.990;
;Armaf;Club De Nuit Milestone;105;Unisex;275.434;964.019;Edp;;31.990;
;Armaf;Club De Nuit Urban Man;105;Hombre;189.334;662.669;Edp;;21.990;
;Armaf;Club De Nuit Women;105;Mujer;206.554;722.939;Edp;;23.990;
;Armaf;Decant Club De Nuit Intense Man Edt 10ml;;;4990;;;;;
;Armaf;Derby Blanche White Edt 100ml .;;;15990;;;;;
;Armaf;Derby Blanche White;100;Hombre;206.554;722.939;Edt;;23.990;
;Armaf;El Cielo Pour Homme Edp 100ml;;;24990;;;;;
;Armaf;Hunter For Men Edt 100ml .;;;18490;;;;;
;Armaf;Hunter For Women Edp 100ml .;;;14890;;;;;
;Armaf;Hunter Intense For Men Edp 100ml .;;;21990;;;;;
;Armaf;Hunter For Men;100;Hombre;172.114;602.399;Edt;;19.990;
;Armaf;Hunter For Women;100;Mujer;172.114;602.399;Edp;;19.990;
;Armaf;Hunter Intense For Men;100;Hombre;189.334;662.669;Edp;;21.990;
;Armaf;La Rosa Edp 100ml .;;;24990;;;;;
;Armaf;Le Femme Edp 100ml .;;;19990;;;;;
;Armaf;Legaci Mujer Edp 100ml;;;19890;;;;;
;Armaf;Legesi Hombre Edp 100ml;;;21990;;;;;
;Armaf;La Rosa;100;Mujer;215.164;753.074;Edp;;24.990;
;Armaf;Le Femme;100;Mujer;215.164;753.074;Edp;;24.990;
;Armaf;Miss Chic Edp 100ml #N/A;;;39990;;;;;
;Armaf;Momento Fleur Edp 100ml .;;;21490;;;;;
;Armaf;Momento Fleur;100;Mujer;206.554;722.939;Edp;;23.990;
;Armaf;Niche Oud Edp 90ml;;;34490;;;;;
;Armaf;Odyssey Homme White Edicion Edp 100ml;;;19490;;;;;
;Armaf;Odyssey Mega Edp 100ml;;;29990;;;;;
;Armaf;Studio Edp 80ml .;;;19890;;;;;
;Armaf;Studio;80;Mujer;215.164;753.074;Edp;;24.990;
;Armaf;Tag Her Edp 100ml .;;;18490;;;;;
;Armaf;Tag Him Edt 100ml .;;;19990;;;;;
;Armaf;Tag Him Prestige Edt 100ml .;;;19990;;;;;
;Armaf;The Pride Of Pour Femme Edp 100ml .;;;24990;;;;;
;Armaf;The Pride Of Pour Homme Edp 100ml .;;;24990;;;;;
;Armaf;The Warrior Edt 100ml .;;;19990;;;;;
;Armaf;Tres Jour Edp 100ml .;;;16890;;;;;
;Armaf;Tres Nuit Edt 100ml .;;;19990;;;;;
;Armaf;Tag Her;100;Mujer;172.114;602.399;Edp;;19.990;
;Armaf;Tag Him Prestige;100;Hombre;172.114;602.399;Edt;;19.990;
;Armaf;Tag Him;100;Hombre;172.114;602.399;Edt;;19.990;
;Armaf;The Pride Of Armaf Pour Homme;100;Hombre;215.164;753.074;Edp;;24.990;
;Armaf;The Pride Of Armaf Pour Femme;100;Mujer;215.164;753.074;Edp;;24.990;
;Armaf;The Warrior;100;Hombre;215.164;753.074;Edt;;24.990;
;Armaf;Tres Jour;100;Mujer;215.164;753.074;Edp;;24.990;
;Armaf;Tres Nuit;100;Hombre;172.114;602.399;Edt;;19.990;
;Armaf;Venice Edp 100ml .;;;12990;;;;;
;Armaf;Ventana Pour Homme Edp 100ml .;;;21990;;;;;
;Armaf;Venice;100;Mujer;172.114;602.399;Edp;;19.990;
;Armaf;Ventana Pour Homme;100;Hombre;197.944;692.804;Edp;;22.990;
;Armand Basi;Armand Basi In Blue;100;33,00 €;60,00 €;Hombre;Edt;;;
;Armani;Acqua Di Gio 50ml Edt .;;44990;;;;;;
;Armani;Acqua Di Gio Absolu Edp 125ml .;;88990;;;;;;
;Armani;Acqua Di Gio Absolu Edp 200ml .;;84990;;;;;;
;Armani;Acqua Di Gio Absolu Edp 40ml .;;29990;;;;;;
;Armani;Acqua Di Gio Absolu Edp 75ml .;;74990;;;;;;
;Armani;Acqua Di Gio Absolu Estuche Edp 75ml+15ml+Gel De Ducha 75ml .;;54990;;;;;;
;Armani;Acqua Di Gio Edt 100ml .;;69990;;;;;;
;Armani;Acqua Di Gio Edt 15ml .;;21990;;;;;;
;Armani;Acqua Di Gio Edt 200ml .;;94990;;;;;;
;Armani;Acqua Di Gio Edt 300ml;;117990;;;;;;
;Armani;Acqua Di Gio Hombre Recargable Edp 125ml;;83990;;;;;;
;Armani;Acqua Di Gio Hombre Recargable Edp 75ml;;64990;;;;;;
;Armani;Acqua Di Gio Homme;100;36.900;;Hombre;Edt;;;
;Armani;Acqua Di Gio Homme;100;43.900;;Hombre;Edt;;;
;Armani;Acqua Di Gio Homme;200;57.500;;Hombre;Edt;;;
;Armani;Acqua Di Gio Mujer Edt 100ml .;;69990;;;;;;
;Armani;Acqua Di Gio Parfum 100ml;;109990;;;;;;
;Armani;Acqua Di Gio Prodondo Estuche Edp 125ml+15ml+Gel De Ducha 75ml .;;101990;;;;;;
;Armani;Acqua Di Gio Profondo Edp 125ml .;;89990;;;;;;
;Armani;Acqua Di Gio Profondo Edp 15ml .;;18990;;;;;;
;Armani;Acqua Di Gio Profondo Edp 200ml .;;109990;;;;;;
;Armani;Acqua Di Gio Profondo Edp 75ml .;;69990;;;;;;
;Armani;Acqua Di Gio Profondo Tester Edp 75ml .;;62990;;;;;;
;Armani;Acqua Di Gio Profumo 75ml .;;64990;;;;;;
;Armani;Acqua Di Gio Profumo De Hombre 125ml .;;84990;;;;;;
;Armani;Acqua Di Gio Profumo De Hombre 180ml .;;104990;;;;;;
;Armani;Acqua Di Gio Profumo Tester 75ml .;;54990;;;;;;
;Armani;Acqua Di Gio Profumo;125;51.900;;Hombre;Perfume;;;
;Armani;Acqua Di Gio Tester Edt 100ml .;;52990;;;;;;
;Armani;Acqua Di Gio Tester Recargable Edp 75ml;;59990;;;;;;
;Armani;Acqua Di Gio;100;42.900;;Mujer;Edt;;;
;Armani;Acqua Di Gioia Edp 100ml .;;79990;;;;;;
;Armani;Acqua Di Gioia Edp 30ml .;;30990;;;;;;
;Armani;Acqua Di Gioia;100;42.900;;Mujer;Edp;;;
;Armani;Air Di Gioia Edp 30ml .;;29990;;;;;;
;Armani;Air Di Gioia Edp 50ml .;;43490;;;;;;
;Armani;Air Di Gioia Tester Edp 100ml .;;44990;;;;;;
;Armani;Acqua Di Gio Absolu Estuche + Gel De Ducha;75;473.464;1.657.124;Hombre;Edp;Estuche;54.990;
;Armani;Acqua Di Gio Absolu;125;645.664;2.259.824;Hombre;Edp;;74.990;
;Armani;Acqua Di Gio Absolu;200;731.764;2.561.174;Hombre;Edp;;84.990;
