-- Tabla Marca
CREATE TABLE gf.marca (
    id_marca SERIAL PRIMARY KEY,
    nombre VARCHAR(100) NOT NULL UNIQUE,
	sitio_web TEXT,
    año_fundacion INT,
	ciudad TEXT,
	país TEXT,	
    estado gf.estado_registro DEFAULT 'activo'
);

INSERT INTO gf.marca (nombre,sitio_web,año_fundacion,ciudad,país)
Marca,Sitio web,Año de fundación,Ciudad,País
1,Antonio Banderas,https://www.banderasperfumes.com/us/en/,1997,Madrid,España
2,Carolina Herrera,https://www.carolinaherrera.com/,1981,New York City,Estados Unidos
3,New Brand Perfumes,,,,
4,Shakira,https://www.shakira.com,2010,,
5,Calvin Klein,https://www.calvinklein.us/en/women/fragrance/fragrance,1968,New York City,Estados Unidos
6,Azzaro,https://www.azzaro.com/en,1969,Paris,Francia
7,Chic 'N Glam Perfumes,https://www.walmart.com/browse/beauty/fragrances/chic-n-glam/1085666_133225/YnJhbmQ6Q2hpYyduIEdsYW0ie,2015,New York City,Estados Unidos
8,Christian Dior,https://www.dior.com/en_us/beauty/fragrance/women-fragrance-home.html,1946,Paris,Francia
9,Cuba,https://www.fragranceoutlet.com/collections/cuba-colognes-and-perfumes,1994,Havana,Cuba
10,Emper,https://www.emperperfumes.com/,2010,Dubai,UAE
11,Ferrari Fragrances,https://luxuryperfume.com/collections/ferrari,1999,Maranello,
12,Grès,https://www.parfumsgres.com/en/heritage,1932,Paris,Francia
13,Hugo Boss,https://www.hugoboss.com/fragrances-men/,1924,Metzingen,Germany
14,Paco Rabanne,https://www.pacorabanne.com/fr/parfums,1966,París,Francia
15,Ralph Lauren,,1967,Nueva York,Estados Unidos
16,Ted Lapidus,https://www.lapidus.fr/,1954,París,Francia
17,Ulric de Varens,,1982,París,Francia
18,Adidas,https://www.perfume.com/adidas,1949,Herzogenaurach,Germany
19,Jesús Del Pozo,https://www.fragranceoutlet.com/collections/jesus-del-pozo-fragrances,,,
20,Alta Moda,https://www.fragrantica.com/designers/Alta-Moda.html,1995,Milan,Italia
21,Yves de Sistelle
22,Christine Darvin,https://www.parfums-christinedarvin.com/en/content/6-brand,1995,Paris,Francia
23,Omerta
24,Pacha Ibiza,,1973,Ibiza,España
25,Puig,https://www.puig.com/en/brands,1914,Barcelona,España
26,Mavive,https://www.mavive.com/en/,1948,,Italia
27,Elizabeth Arden,https://www.elizabetharden.com/collections/fragrance,1910,New York City,Estados Unidos
28,Animale,https://www.sephora.com.br/animale/,1974,São Paulo,Brasil
29,Carlotta Zuofun,https://www.zuofun.com/,2010,Milan,Italia
30,Moschino,,1983,Milán,Italia
31,Versace,,1978,Milán,Italia
32,Ágatha Ruiz De La Prada,https://agatharuizdelapradaperfumes.com/en,1981,Madrid,España
33,Gilles Cantuel,https://www.perfume.com/gilles-cantuel,1992,Paris,Francia
34,Stella Dustin
35,Chanel,https://www.chanel.com/us/fragrance/,1910,Paris,Francia
36,Karen Low,,2005,Australia,
37,Nina Ricci,,1932,París,Francia
38,NYC Scents
39,Air-Val International,https://www.air-val.com/en/,1985,Paris,Francia
40,Britney Spears,https://www.instagram.com/britneyspearsfragrances/?hl=en,2001,New York City,Estados Unidos
41,Estelle Ewen,https://geparlys.com/collections/estelle-ewen,2015,Los Angeles,Estados Unidos
42,Cofinluxe,https://us.amazon.com/Cafe-Cofinluxe-Women-Parfum-Spray/dp/B001360EWE,1989,Paris,Francia
43,Cacharel,https://www.loreal.com/en/loreal-luxe/cacharel/,1962,Paris,Francia
44,Tommy Hilfiger,,1985,Nueva York,Estados Unidos
45,Givenchy,https://www.givenchybeauty.com/us/fragrance/,1952,Paris,Francia
46,Dolce & Gabbana,https://www.dolcegabbana.com/en-us/beauty/perfumes-for-her/all-products/,1985,Milan,Italia
47,Yves Saint Laurent,https://www.yslbeautyus.com/fragrance/,1961,París,Francia
48,Lanvin Parfums,,1889,París,Francia
49,Jeanne Arthes,https://www.jeanne-arthes.com/,1978,Paris,Francia
50,Lattafa
51,Marina De Bourbon,,1992,París,Francia
52,Maison Alhambra
53,Sappil
54,Lacoste,,1933,París,Francia
55,Fragantia Secrets,https://www.fragrantica.com/designers/Fragrantia-Secrets.html,2010,Dubai,UAE
56,Via Paris Parfums
57,Sex in the City,,2004,Estados Unidos,
