NOMBRE,LONG_KM_EN,RUTA_NRO,ANCHO,TIPO,LONG_MTS
RUTA ITACURUBÍ DE LA CORDILLERA - SANTA ELENA,9,,12,1,9241
RUTA SANTA ELENA - MBOCAYATY DEL YHAGUY,12,,12,1,11970
RUTA EUSEBIO AYALA - CARAGUATAY,23,,12,1,22841
RAMAL CARAGUATAY - VAPOR CUE,4,,12,1,4358
RUTA CARAGUATAY - PRIMERO DE MARZO,16,,12,1,15943
RUTA SANTA ELENA - CARAGUATAY,22,,12,1,21600
RAMAL RUTA 3 - JUAN DE MENA,19,,12,1,18576
RAMAL CARAYAO - JUAN DE MENA,25,,8,3,24796
RUTA TOBATÍ - PRIMERO DE MARZO,25,,12,1,24916
RAMAL ISLA PUCÚ - PRIMERO DE MARZO,15,,8,2,15349
RAMAL,3,,0,1,3078
RAMAL A SAN JOSÉ OBRERO,6,,8,2,6055
RAMAL MBOCAYATY DEL YHAGUY - VAPOR CUÉ,17,,8,3,17031
RAMAL ITACURUBÍ DE LA CORDILLERA - PIRIBEBUY,15,,8,1,14879
RUTA LA COLMENA - TEBICUARY,36,,12,1,35971
RAMAL RUTA 8 - SAN SALVADOR - ITURBE,26,,12,2,25535
RAMAL RUTA 8 - ITURBE,21,,12,2,20589
RAMAL NARANJAL - SAN CRISTÓBAL,43,,12,2,43270
RAMAL JUAN E O’LEARY - SAN CRISTÓBAL,64,,12,3,63732
ACCESO A IRUÑA,11,,12,2,11274
RAMAL CRUCE KIMEX – KRESSBURGO,24,,12,1,24470
ACCESO A RAÚL PEÑA,12,,12,2,11815
RUTA CARAPEGUÁ - NUEVA ITALIA,32,,0,1,32380
RUTA SANTA RITA - SANTA ROSA DEL MONDAY,23,,12,1,22590
RUTA SANTA ROSA DEL MONDAY - LOS CEDRALES,28,,12,1,28004
RUTA LUQUE – AREGUÁ,12,,0,1,12105
RAMAL CAPIATÁ - AREGUÁ,8,,0,1,7531
RUTA AREGUÁ - YPACARAÍ,14,,0,1,13867
RUTA ITÁ - ITAUGUÁ,13,,0,1,13071
TOLEDO CAÑADA,9,,0,1,8856
ALDANA CAÑADA - LAS PIEDRAS,11,,12,1,11069
ROJAS CAÑADA,7,,0,1,7152
AVENIDA DR. LÓPEZ GABRIAGUEZ,5,,0,1,4966
RAMAL CAPIATÁ - YPANÉ,10,,0,1,9642
RUTA GUARAMBARÉ -VILLETA,11,,0,1,10799
RAMAL,4,,0,1,4229
RUTA GUARAMBARÉ - NUEVA ITALIA,17,,0,1,16587
RUTA VILLETA - ALBERDI,43,,12,1,43024
RAMAL CAPIATÁ - LUQUE,11,,0,1,11304
RUTA LUQUE - SAN LORENZO,9,,0,1,8872
AUTOPISTA SILVIO PETTIROSSI,5,,0,1,5331
RUTA LUQUE - MARIANO ROQUE ALONSO,4,,0,1,3950
RUTA LUQUE - LIMPIO,13,,0,1,12972
RUTA LIMPIO - PIQUETE CUÉ,8,,12,1,7983
GERVACIO LEÓN,2,,8,1,1574
AVENIDA GENERAL DÍAZ,1,,8,1,1422
