"10","06","ALTO PARANÁ","ITAKYRY","6","970","COM INDIG Y ARYTY MIRI","0318","01","Y ARYTY MIRI","AVA GUARANI","42","GUARANI"
"10","06","ALTO PARANÁ","ITAKYRY","6","980","COM INDIG KO'E JU","0321","01","KO'E JU","AVA GUARANI","42","GUARANI"
"10","06","ALTO PARANÁ","ITAKYRY","6","675","COM INDIG ARROYO GUAZU-CHOPA CUE","0306","01","ARROYO GUAZU-CHOPA CUE","AVA GUARANI","42","GUARANI"
"10","06","ALTO PARANÁ","ITAKYRY","6","685","COM INDIG ARROYO GUAZU-PILICO CUE","0306","04","ARROYO GUAZU-PILICO CUE","AVA GUARANI","42","GUARANI"
"10","06","ALTO PARANÁ","ITAKYRY","6","715","COM INDIG YUKYRY","0311","01","YUKYRY","AVA GUARANI","42","GUARANI"
"10","05","ALTO PARANÁ","HERNANDARIAS","6","300","COM INDIG ACARAYMI - ANGELA ANTONIA","0305","01","ACARAYMI - ANGELA ANTONIA","AVA GUARANI","42","GUARANI"
"10","05","ALTO PARANÁ","HERNANDARIAS","6","450","COM INDIG INDEPENDIENTE","0847","01","INDEPENDIENTE","AVA GUARANI","42","GUARANI"
"10","05","ALTO PARANÁ","HERNANDARIAS","6","350","TACURU PUCU","9042","01","NUCLEO DE FAMILIAS MBYA GUARANI","MBYA","43","GUARANI"
"10","02","ALTO PARANÁ","PRESIDENTE FRANCO","6","320","COM INDIG PUERTO BARRETO","0326","01","PUERTO BARRETO","MBYA","43","GUARANI"
"10","02","ALTO PARANÁ","PRESIDENTE FRANCO","6","210","COM INDIG PUERTO BERTONI","0307","01","PUERTO BERTONI","MBYA","43","GUARANI"
"10","02","ALTO PARANÁ","PRESIDENTE FRANCO","6","220","COM INDIG YVYRA MOA - PUERTO GIMENEZ","0325","01","YVYRA MOA - PUERTO GIMENEZ","MBYA","43","GUARANI"
"10","02","ALTO PARANÁ","PRESIDENTE FRANCO","6","230","COM INDIG PUESTO CUE - MEDIO MUNDO","0327","01","PUESTO CUE - MEDIO MUNDO","MBYA","43","GUARANI"
"17","05","ALTO PARAGUAY","CARMELO PERALTA","6","130","COM INDIG GUIDA ICHAI","0718","01","GUIDA ICHAI","AYOREO","71","ZAMUCO"
"17","05","ALTO PARAGUAY","CARMELO PERALTA","6","160","COM INDIG PUNTA","0948","01","PUNTA","AYOREO","71","ZAMUCO"
"17","05","ALTO PARAGUAY","CARMELO PERALTA","6","170","COM INDIG TIOGAI","0949","01","TIOGAI","AYOREO","71","ZAMUCO"
"17","05","ALTO PARAGUAY","CARMELO PERALTA","6","150","COM INDIG NUEVA ESPERANZA","0947","01","NUEVA ESPERANZA","AYOREO","71","ZAMUCO"
"17","05","ALTO PARAGUAY","CARMELO PERALTA","6","180","COM INDIG CUCAANI","0724","01","CUCAANI","AYOREO","71","ZAMUCO"
"17","05","ALTO PARAGUAY","CARMELO PERALTA","6","140","COM INDIG ISLA ALTA","0719","01","ISLA ALTA","AYOREO","71","ZAMUCO"
"17","04","ALTO PARAGUAY","BAHÍA NEGRA","6","120","COM INDIG PUERTO DIANA","0713","01","PUERTO DIANA","ISHIR YBYTOSO","72","ZAMUCO"
"17","04","ALTO PARAGUAY","BAHÍA NEGRA","6","110","COM INDIG 14 DE MAYO KARCHABALUT","0585","01","14 DE MAYO KARCHABALUT","ISHIR YBYTOSO","72","ZAMUCO"
"17","04","ALTO PARAGUAY","BAHÍA NEGRA","6","130","COM INDIG PUERTO ESPERANZA INIHTA","0714","01","PUERTO ESPERANZA INIHTA","ISHIR YBYTOSO","72","ZAMUCO"
"17","02","ALTO PARAGUAY","PUERTO CASADO","6","330","COM INDIG BOQUERON CUE","0725","01","BOQUERON CUE","TOBA MASKOY","57","LENGUA MASKOY"
"17","02","ALTO PARAGUAY","PUERTO CASADO","6","260","COM INDIG AROCOJNADI","0732","01","AROCOJNADI","AYOREO","71","ZAMUCO"
"17","02","ALTO PARAGUAY","PUERTO CASADO","6","190","COM INDIG CHAIDI","0943","01","CHAIDI","AYOREO","71","ZAMUCO"
"17","02","ALTO PARAGUAY","PUERTO CASADO","6","200","COM INDIG GARAI","0944","01","GARAI","AYOREO","71","ZAMUCO"
"17","02","ALTO PARAGUAY","PUERTO CASADO","6","210","COM INDIG COMUNIDAD 5","0945","01","COMUNIDAD 5","AYOREO","71","ZAMUCO"
"17","02","ALTO PARAGUAY","PUERTO CASADO","1","008","COM INDIG LIVIO FARIÑA","0723","01","LIVIO FARIÑA","ANGAITE","55","LENGUA MASKOY"
"17","02","ALTO PARAGUAY","PUERTO CASADO","6","340","COM INDIG RIACHO MOSQUITO","0716","01","RIACHO MOSQUITO","GUANA","56","LENGUA MASKOY"
"17","02","ALTO PARAGUAY","PUERTO CASADO","6","310","COM INDIG CASTILLA","0717","01","CASTILLA","ANGAITE","55","LENGUA MASKOY"
"17","02","ALTO PARAGUAY","PUERTO CASADO","6","290","COM INDIG MARIA AUXILIADORA KM 40","0721","01","MARIA AUXILIADORA KM 40","ANGAITE","55","LENGUA MASKOY"
