"DPTO_x","DPTO_DESC_x","DISTRITO_x","DIST_DESC_x","CLAVE_x","geometry","DPTO_y","DPTO_DESC_y","DISTRITO_y","DIST_DESC_y","CLAVE_y","longitude","latitude"
"03","CORDILLERA","01","CAACUPÉ","0301","POINT (-6361588.795579111 -2923441.3956807195)","03","CORDILLERA","01","CAACUPÉ","0301","-6361588.795579111","-2923441.3956807195"
"03","CORDILLERA","02","ALTOS","0302","POINT (-6372940.92485369 -2908239.5888903863)","03","CORDILLERA","02","ALTOS","0302","-6372940.92485369","-2908239.5888903863"
"03","CORDILLERA","03","ARROYOS Y ESTEROS","0303","POINT (-6355898.784374265 -2882435.206830489)","03","CORDILLERA","03","ARROYOS Y ESTEROS","0303","-6355898.784374265","-2882435.206830489"
"03","CORDILLERA","04","ATYRÁ","0304","POINT (-6364493.326981208 -2911426.6260820986)","03","CORDILLERA","04","ATYRÁ","0304","-6364493.326981208","-2911426.6260820986"
"03","CORDILLERA","05","CARAGUATAY","0305","POINT (-6326121.140334276 -2905097.9747818387)","03","CORDILLERA","05","CARAGUATAY","0305","-6326121.140334276","-2905097.9747818387"
"03","CORDILLERA","06","EMBOSCADA","0306","POINT (-6383937.95337819 -2891006.9570213477)","03","CORDILLERA","06","EMBOSCADA","0306","-6383937.95337819","-2891006.9570213477"
"03","CORDILLERA","07","EUSEBIO AYALA","0307","POINT (-6340729.823225832 -2923775.4851072575)","03","CORDILLERA","07","EUSEBIO AYALA","0307","-6340729.823225832","-2923775.4851072575"
"03","CORDILLERA","08","ISLA PUCÚ","0308","POINT (-6334254.012742427 -2914411.583906914)","03","CORDILLERA","08","ISLA PUCÚ","0308","-6334254.012742427","-2914411.583906914"
"03","CORDILLERA","09","ITACURUBÍ DE LA CORDILLERA","0309","POINT (-6328649.424299221 -2932681.2947022575)","03","CORDILLERA","09","ITACURUBÍ DE LA CORDILLERA","0309","-6328649.424299221","-2932681.2947022575"
"03","CORDILLERA","10","JUAN DE MENA","0310","POINT (-6319395.500952378 -2870203.6473539853)","03","CORDILLERA","10","JUAN DE MENA","0310","-6319395.500952378","-2870203.6473539853"
"03","CORDILLERA","11","LOMA GRANDE","0311","POINT (-6371182.554100643 -2897549.838917828)","03","CORDILLERA","11","LOMA GRANDE","0311","-6371182.554100643","-2897549.838917828"
"03","CORDILLERA","12","MBOCAYATY DEL YHAGUY","0312","POINT (-6314762.174318439 -2918275.4120117803)","03","CORDILLERA","12","MBOCAYATY DEL YHAGUY","0312","-6314762.174318439","-2918275.4120117803"
"03","CORDILLERA","13","NUEVA COLOMBIA","0313","POINT (-6379059.131034512 -2899022.316859358)","03","CORDILLERA","13","NUEVA COLOMBIA","0313","-6379059.131034512","-2899022.316859358"
